dbo_LINE_LINE_ID,TRAIT_NM,TRAIT_DSC,OBSRV_NT_NBR,OBSRV_EFF_TSP,CNTRY_NM,REGN_NM,LOC_NM,COOP_LOC_NM
253334,THINS BARLEY,Barley Thin Percent <5.5/64,0,3/27/2018 14:50:45,RUSSIA,RUSSIA,SARANSK,SARANSK 2017
253315,PLUMP BARLEY,Barley Plump Percent >6/64,88.1,3/27/2018 14:50:45,RUSSIA,RUSSIA,SARANSK,SARANSK 2017
253868,B PROTEIN DSB WGA,Barley Protein (DSB) Prediction on WGA,10.1,3/27/2018 14:50:45,RUSSIA,RUSSIA,SARANSK,SARANSK 2017
253870,B PROTEIN DSB WGA,Barley Protein (DSB) Prediction on WGA,10.2,3/27/2018 14:50:45,RUSSIA,RUSSIA,SARANSK,SARANSK 2017
254186,PLUMP BARLEY,Barley Plump Percent >6/64,44.2,3/27/2018 14:50:45,RUSSIA,RUSSIA,SARANSK,SARANSK 2017
253199,THINS BARLEY,Barley Thin Percent <5.5/64,0,3/27/2018 14:50:45,RUSSIA,RUSSIA,SARANSK,SARANSK 2017
253315,MIDS BARLEY,Mids Barley Percent,11.1,3/27/2018 14:50:45,RUSSIA,RUSSIA,SARANSK,SARANSK 2017
253874,PLUMP BARLEY,Barley Plump Percent >6/64,72.4,3/27/2018 14:50:45,RUSSIA,RUSSIA,SARANSK,SARANSK 2017
253335,PLUMP BARLEY,Barley Plump Percent >6/64,68.5,3/27/2018 14:50:45,RUSSIA,RUSSIA,SARANSK,SARANSK 2017
253871,B PROTEIN DSB WGA,Barley Protein (DSB) Prediction on WGA,9.5,3/27/2018 14:50:45,RUSSIA,RUSSIA,SARANSK,SARANSK 2017
